LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,INCOMEINEQ,GINI,INEQ,A,2018,0.28,
AUT,INCOMEINEQ,GINI,INEQ,A,2019,0.274,
BEL,INCOMEINEQ,GINI,INEQ,A,2018,0.258,
BEL,INCOMEINEQ,GINI,INEQ,A,2019,0.262,
CZE,INCOMEINEQ,GINI,INEQ,A,2018,0.249,
CZE,INCOMEINEQ,GINI,INEQ,A,2019,0.248,
DNK,INCOMEINEQ,GINI,INEQ,A,2018,0.263,
DNK,INCOMEINEQ,GINI,INEQ,A,2019,0.268,
FIN,INCOMEINEQ,GINI,INEQ,A,2018,0.269,
FIN,INCOMEINEQ,GINI,INEQ,A,2019,0.273,
FRA,INCOMEINEQ,GINI,INEQ,A,2018,0.301,
FRA,INCOMEINEQ,GINI,INEQ,A,2019,0.292,
DEU,INCOMEINEQ,GINI,INEQ,A,2018,0.289,
DEU,INCOMEINEQ,GINI,INEQ,A,2019,0.296,
GRC,INCOMEINEQ,GINI,INEQ,A,2018,0.306,
GRC,INCOMEINEQ,GINI,INEQ,A,2019,0.308,
HUN,INCOMEINEQ,GINI,INEQ,A,2018,0.28,
HUN,INCOMEINEQ,GINI,INEQ,A,2019,0.286,
IRL,INCOMEINEQ,GINI,INEQ,A,2018,0.292,
ITA,INCOMEINEQ,GINI,INEQ,A,2018,0.33,
LUX,INCOMEINEQ,GINI,INEQ,A,2018,0.318,
LUX,INCOMEINEQ,GINI,INEQ,A,2019,0.305,
NLD,INCOMEINEQ,GINI,INEQ,A,2018,0.295,
NLD,INCOMEINEQ,GINI,INEQ,A,2019,0.312,
POL,INCOMEINEQ,GINI,INEQ,A,2018,0.281,
PRT,INCOMEINEQ,GINI,INEQ,A,2018,0.317,
PRT,INCOMEINEQ,GINI,INEQ,A,2019,0.31,
SVK,INCOMEINEQ,GINI,INEQ,A,2018,0.236,
SVK,INCOMEINEQ,GINI,INEQ,A,2019,0.222,P
ESP,INCOMEINEQ,GINI,INEQ,A,2018,0.33,
ESP,INCOMEINEQ,GINI,INEQ,A,2019,0.32,
SWE,INCOMEINEQ,GINI,INEQ,A,2018,0.273,
SWE,INCOMEINEQ,GINI,INEQ,A,2019,0.277,
EST,INCOMEINEQ,GINI,INEQ,A,2018,0.305,
EST,INCOMEINEQ,GINI,INEQ,A,2019,0.305,
SVN,INCOMEINEQ,GINI,INEQ,A,2018,0.249,
SVN,INCOMEINEQ,GINI,INEQ,A,2019,0.246,
LVA,INCOMEINEQ,GINI,INEQ,A,2018,0.351,
LVA,INCOMEINEQ,GINI,INEQ,A,2019,0.344,P
LTU,INCOMEINEQ,GINI,INEQ,A,2018,0.361,
LTU,INCOMEINEQ,GINI,INEQ,A,2019,0.357,
BGR,INCOMEINEQ,GINI,INEQ,A,2018,0.408,
BGR,INCOMEINEQ,GINI,INEQ,A,2019,0.402,
ROU,INCOMEINEQ,GINI,INEQ,A,2018,0.35,
ROU,INCOMEINEQ,GINI,INEQ,A,2019,0.339,
